gk,ump,peng,upah,jenis,daerah,periode,cluster
0.48523078266903796,0.6644432587481868,0.23289517061340215,0.34134933774834436,0,2,0,1
0.48523078266903796,0.6644432587481868,0.14063486489566046,0.34134933774834436,0,2,0,1
0.48523078266903796,0.6644432587481868,0.3975417364284379,0.34134933774834436,0,2,0,1
0.48523078266903796,0.6644432587481868,0.274501232902875,0.34134933774834436,0,2,0,1
0.48523078266903796,0.6644432587481868,0.266487465588811,0.34134933774834436,0,2,0,1
0.48523078266903796,0.6644432587481868,0.24705256938905518,0.34134933774834436,0,2,0,1
0.48523078266903796,0.6644432587481868,0.1834594350421774,0.34134933774834436,0,2,0,1
0.48523078266903796,0.6644432587481868,0.4545241108440711,0.34134933774834436,0,2,0,1
0.5249599044987031,0.6644432587481868,0.23289517061340215,0.34134933774834436,0,2,1,1
0.5249599044987031,0.6644432587481868,0.14063486489566046,0.34134933774834436,0,2,1,1
0.5249599044987031,0.6644432587481868,0.3975417364284379,0.34134933774834436,0,2,1,1
0.5249599044987031,0.6644432587481868,0.274501232902875,0.34134933774834436,0,2,1,1
0.5249599044987031,0.6644432587481868,0.266487465588811,0.34134933774834436,0,2,1,1
0.5249599044987031,0.6644432587481868,0.24705256938905518,0.34134933774834436,0,2,1,1
0.5249599044987031,0.6644432587481868,0.1834594350421774,0.34134933774834436,0,2,1,1
0.5249599044987031,0.6644432587481868,0.4545241108440711,0.34134933774834436,0,2,1,1
0.46773191698957395,0.6644432587481868,0.23289517061340215,0.34134933774834436,0,0,0,1
0.46773191698957395,0.6644432587481868,0.14063486489566046,0.34134933774834436,0,0,0,1
0.46773191698957395,0.6644432587481868,0.3975417364284379,0.34134933774834436,0,0,0,1
0.46773191698957395,0.6644432587481868,0.274501232902875,0.34134933774834436,0,0,0,1
0.46773191698957395,0.6644432587481868,0.266487465588811,0.34134933774834436,0,0,0,1
0.46773191698957395,0.6644432587481868,0.24705256938905518,0.34134933774834436,0,0,0,1
0.46773191698957395,0.6644432587481868,0.1834594350421774,0.34134933774834436,0,0,0,1
0.46773191698957395,0.6644432587481868,0.4545241108440711,0.34134933774834436,0,0,0,1
0.5017421222348661,0.6644432587481868,0.23289517061340215,0.34134933774834436,0,0,1,1
0.5017421222348661,0.6644432587481868,0.14063486489566046,0.34134933774834436,0,0,1,1
0.5017421222348661,0.6644432587481868,0.3975417364284379,0.34134933774834436,0,0,1,1
0.5017421222348661,0.6644432587481868,0.274501232902875,0.34134933774834436,0,0,1,1
0.5017421222348661,0.6644432587481868,0.266487465588811,0.34134933774834436,0,0,1,1
0.5017421222348661,0.6644432587481868,0.24705256938905518,0.34134933774834436,0,0,1,1
0.5017421222348661,0.6644432587481868,0.1834594350421774,0.34134933774834436,0,0,1,1
0.5017421222348661,0.6644432587481868,0.4545241108440711,0.34134933774834436,0,0,1,1
0.4732567252469422,0.6644432587481868,0.23289517061340215,0.34134933774834436,0,1,0,1
0.4732567252469422,0.6644432587481868,0.14063486489566046,0.34134933774834436,0,1,0,1
0.4732567252469422,0.6644432587481868,0.3975417364284379,0.34134933774834436,0,1,0,1
0.4732567252469422,0.6644432587481868,0.274501232902875,0.34134933774834436,0,1,0,1
0.4732567252469422,0.6644432587481868,0.266487465588811,0.34134933774834436,0,1,0,1
0.4732567252469422,0.6644432587481868,0.24705256938905518,0.34134933774834436,0,1,0,1
0.4732567252469422,0.6644432587481868,0.1834594350421774,0.34134933774834436,0,1,0,1
